,City,Latitude,Max Temperature,Humidity,Cloudiness,Wind Speed
94,cognac,45.69,21.2,62,0,13.02
95,vaini,15.34,67.64,51,0,3.62
97,souillac,45.6,21.2,62,0,13.02
98,ancud,-41.87,54.68,85,80,1.95
99,avarua,-21.21,80.6,100,76,6.98
100,ribeira grande,38.52,58.51,100,64,12.46
101,jamestown,-33.21,75.43,44,0,16.37
102,ushuaia,-54.81,45.14,100,88,13.69
103,mataura,-46.19,71.74,67,0,5.64
104,vila,45.18,23.81,85,88,3.18
105,takoradi,4.89,78.58,100,36,6.64
106,nome,30.04,73.4,83,90,10.29
107,san joaquin,10.59,85.96,67,20,11.79
108,beloha,-25.17,73.76,86,92,9.78
109,mataura,-46.19,71.74,67,0,5.64
111,sancoale,15.37,76.24,100,0,5.53
112,rikitea,-23.12,79.84,100,64,14.03
113,rikitea,-23.12,79.84,100,64,14.03
114,albany,42.65,39.2,60,40,4.85
115,guerrero negro,27.97,55.99,89,88,8.99
116,kavaratti,10.57,83.44,100,0,2.84
117,port blair,11.67,83.62,98,0,8.43
118,mataura,-46.19,71.74,67,0,5.64
119,bluff,-23.58,79.66,97,68,10.33
120,yellowknife,62.45,2.3,66,12,8.21
121,srednekolymsk,67.46,-3.42,64,88,3.96
122,ushuaia,-54.81,45.14,100,88,13.69
123,mitsamiouli,-11.38,80.92,100,0,2.95
124,manzanillo,20.34,75.56,100,0,22.3
125,norman wells,65.28,-5.04,66,56,2.51
126,ushuaia,-54.81,45.14,100,88,13.69
127,pundaguitan,6.37,83.93,96,36,4.41
128,ouadda,8.07,64.81,97,36,3.18
129,rikitea,-23.12,79.84,100,64,14.03
130,saint-philippe,45.36,44.6,48,75,5.82
131,kondopoga,62.21,-2.34,75,48,5.86
132,obuasi,6.21,73.72,86,64,4.74
133,rikitea,-23.12,79.84,100,64,14.03
134,kapaa,22.08,75.2,78,90,18.34
135,rikitea,-23.12,79.84,100,64,14.03
136,poco verde,-10.71,73.94,76,0,9.22
137,makakilo city,21.35,80.6,61,1,10.29
139,avarua,-21.21,80.6,100,76,6.98
140,seoul,37.57,44.6,60,90,4.7
141,ratnagiri,16.98,79.66,100,0,2.39
142,hasaki,35.73,46.4,100,0,2.24
143,albany,42.65,39.2,60,40,4.85
144,edd,13.93,64.72,93,0,2.62
145,mar del plata,-46.43,55.13,95,12,2.39
147,castro,-42.48,49.69,97,0,2.17
148,sao joao da barra,-21.64,80.83,96,56,24.43
149,drexel heights,32.14,62.6,20,1,19.46
150,east london,-33.02,68.23,100,24,7.43
151,goderich,43.74,39.11,79,32,12.57
152,bredasdorp,-34.53,60.94,100,0,7.54
154,rikitea,-23.12,79.84,100,64,14.03
155,san patricio,-26.98,73.81,90,76,2.06
156,yellowknife,62.45,2.3,66,12,8.21
158,longyearbyen,78.22,23,67,75,21.92
159,banfora,10.64,72.14,89,20,10
160,albany,42.65,39.2,60,40,4.85
161,ponta do sol,-20.63,65.71,98,76,2.73
162,mount gambier,-37.83,65.53,69,92,15.26
163,punta arenas,-53.16,52.7,79,76,16.26
164,ribeira grande,38.52,58.51,100,64,12.46
165,bima,-8.45,82.4,89,48,1.39
166,upernavik,72.79,10.94,81,56,10.33
167,bredasdorp,-34.53,60.94,100,0,7.54
168,santa cruz,36.97,57.2,63,1,8.05
169,punta arenas,-53.16,52.7,79,76,16.26
170,bluff,-23.58,79.66,97,68,10.33
171,bluff,-23.58,79.66,97,68,10.33
172,rio gallegos,-51.62,54.37,88,76,18.95
173,whitehorse,60.72,14.86,66,76,4.63
174,viedma,-40.81,55.18,92,0,5.75
175,vaini,15.34,67.64,51,0,3.62
176,cape town,-33.93,61.7,94,0,14.25
177,rikitea,-23.12,79.84,100,64,14.03
178,kharp,66.82,-15.84,71,64,8.66
179,mataura,-46.19,71.74,67,0,5.64
180,port elizabeth,39.31,44.6,52,1,5.82
181,gazanjyk,39.24,47.03,98,92,4.18
183,castro,-42.48,49.69,97,0,2.17
184,bluff,-23.58,79.66,97,68,10.33
185,fairview,40.81,50,34,1,7.76
186,ternate,14.29,80.6,88,75,2.24
187,mount gambier,-37.83,65.53,69,92,15.26
188,lebu,8.96,46.63,87,64,2.62
189,lardos,36.09,61.12,100,48,19.28
190,kodiak,39.95,59,77,75,12.75
191,hasaki,35.73,46.4,100,0,2.24
192,vesyegonsk,58.67,-14.85,68,8,10
193,mabaruma,8.2,74.3,90,12,5.08
194,port lincoln,-34.72,69.89,75,0,17.38
196,saskylakh,71.97,-24.3,36,8,10.33
197,mataura,-46.19,71.74,67,0,5.64
198,tecoanapa,16.99,69.22,97,0,2.73
199,bredasdorp,-34.53,60.94,100,0,7.54
200,beringovskiy,63.05,10.09,100,0,2.39
202,hasaki,35.73,46.4,100,0,2.24
203,mar del plata,-46.43,55.13,95,12,2.39
204,kapaa,22.08,75.2,78,90,18.34
205,punta arenas,-53.16,52.7,79,76,16.26
207,rikitea,-23.12,79.84,100,64,14.03
208,ibra,22.69,56.62,73,64,0.49
209,vila velha,-3.71,81.68,100,12,17.49
210,babati,-4.21,64.04,82,12,3.06
211,arraial do cabo,-22.97,76.87,98,68,2.06
212,butaritari,3.07,83.66,97,92,17.05
213,trat,12.25,78.8,94,20,3.36
215,atuona,-9.8,81.05,100,92,14.14
217,lagoa,37.14,57.61,98,92,20.07
218,hermanus,-34.42,52.43,100,56,3.62
219,mataura,-46.19,71.74,67,0,5.64
220,tasiilaq,65.61,17.33,91,0,4.18
221,chokurdakh,70.62,-18.09,80,44,5.08
222,beira,43.2,37.4,100,75,9.17
223,saint-philippe,45.36,44.6,48,75,5.82
225,newton,41.7,57.2,76,40,4.63
226,quatre cocos,-20.21,80.69,81,76,9.89
227,mananjary,-19.16,53.92,87,12,3.96
228,port moresby,-9.47,84.61,99,20,6.42
229,gwadar,25.12,66.61,99,80,3.74
230,kailua,21.39,80.6,65,90,12.75
231,lebu,8.96,46.63,87,64,2.62
232,manggar,-2.88,83.71,97,36,4.41
234,hobart,-42.88,73.13,55,100,7.09
235,arraial do cabo,-22.97,76.87,98,68,2.06
236,waipawa,-39.94,71.74,58,44,14.03
237,cidreira,-30.17,69.8,97,48,3.62
238,ushuaia,-54.81,45.14,100,88,13.69
239,rikitea,-23.12,79.84,100,64,14.03
240,lasa,34.92,53.6,87,40,6.93
241,tasiilaq,65.61,17.33,91,0,4.18
242,albany,42.65,39.2,60,40,4.85
243,punta arenas,-53.16,52.7,79,76,16.26
244,yellowknife,62.45,2.3,66,12,8.21
246,victoria,5.28,81.68,100,36,4.07
247,caconda,-13.73,58.06,89,0,8.43
248,rikitea,-23.12,79.84,100,64,14.03
249,vallenar,-28.58,54.91,83,0,2.06
251,avarua,-21.21,80.6,100,76,6.98
252,nabire,-3.36,78.98,87,44,2.62
253,bilma,18.69,65.03,18,0,10.78
254,avarua,-21.21,80.6,100,76,6.98
255,pimentel,-3.7,73.54,96,36,2.39
256,mataura,-46.19,71.74,67,0,5.64
257,provideniya,64.42,18.05,100,0,1.16
258,pangnirtung,66.15,26.29,84,88,12.35
259,yellowknife,62.45,2.3,66,12,8.21
260,sao filipe,14.9,67.46,100,8,6.42
261,san patricio,-26.98,73.81,90,76,2.06
262,hualmay,-11.1,66.07,83,20,3.06
263,maldonado,-34.91,65.66,100,0,8.66
265,tigre,-34.42,68.99,70,0,7.99
266,ushuaia,-54.81,45.14,100,88,13.69
267,tasiilaq,65.61,17.33,91,0,4.18
268,kodiak,39.95,59,77,75,12.75
269,fortuna,38.18,50,87,90,4.7
270,benicarlo,40.42,47.84,100,88,5.19
271,kununurra,-15.77,90.23,81,12,4.63
272,santa cruz del norte,23.15,77.18,99,0,13.13
273,sao filipe,14.9,67.46,100,8,6.42
274,albany,42.65,39.2,60,40,4.85
275,severiano melo,-5.78,85.96,43,64,8.99
276,ushuaia,-54.81,45.14,100,88,13.69
277,ushuaia,-54.81,45.14,100,88,13.69
278,ola,59.58,9.14,100,0,16.04
279,hay river,60.82,4.64,84,0,2.39
280,esperance,10.24,74.21,88,32,4.63
281,ushuaia,-54.81,45.14,100,88,13.69
282,atuona,-9.8,81.05,100,92,14.14
283,new norfolk,-42.78,69.26,64,68,8.21
284,grand gaube,-20.01,82.04,100,44,17.38
285,antofagasta,-23.65,56.53,98,8,1.72
287,upernavik,72.79,10.94,81,56,10.33
288,bredasdorp,-34.53,60.94,100,0,7.54
289,kerouane,12.23,69.44,80,56,2.51
290,tura,25.52,67.96,83,8,4.18
291,nogliki,51.8,11.84,100,0,10
292,cape town,-33.93,61.7,94,0,14.25
293,kaitangata,-46.28,68.86,76,0,3.62
294,nikolskoye,59.7,-13.36,64,0,5.75
295,codrington,-28.95,77.41,79,12,3.29
296,tchibanga,-2.92,68.99,100,80,2.84
297,coahuayana,18.62,66.61,62,0,2.28
298,carnarvon,-30.97,52.03,53,0,2.62
299,bluff,-23.58,79.66,97,68,10.33
300,chengde,40.97,30.83,60,80,4.07
301,cape town,-33.93,61.7,94,0,14.25
302,hobart,-42.88,73.13,55,100,7.09
304,avarua,-21.21,80.6,100,76,6.98
305,kuruman,-27.46,64.04,67,12,7.99
306,lompoc,34.64,53.6,62,1,18.34
307,torbay,47.66,31.55,91,88,21.97
308,sochi,43.6,40.42,99,92,0.94
309,busselton,-33.64,68.99,100,0,8.43
310,rikitea,-23.12,79.84,100,64,14.03
311,outjo,-20.11,63.46,73,76,2.95
312,dikson,73.51,19.49,100,80,24.65
313,atuona,-9.8,81.05,100,92,14.14
315,flin flon,54.77,19.04,75,36,6.53
316,albany,42.65,39.2,60,40,4.85
318,poum,41.28,22.64,79,0,3.29
319,naze,5.43,70.21,96,68,2.95
320,assiniboia,49.63,20.75,86,44,12.24
321,chistogorskiy,53.98,-5.67,55,48,2.62
322,metro,-5.11,79.25,100,80,4.63
324,klaksvik,62.23,37.4,59,80,6.93
325,talnakh,69.49,-23.31,34,64,9.1
326,tuktoyaktuk,69.44,-6.03,71,20,8.77
327,rundu,-17.91,64.99,92,24,8.21
328,chuy,-33.69,66.29,88,32,7.87
329,ushuaia,-54.81,45.14,100,88,13.69
330,kodiak,39.95,59,77,75,12.75
331,port elizabeth,39.31,44.6,52,1,5.82
332,lavrentiya,65.58,14.86,100,0,10
333,hithadhoo,-0.6,83.71,100,76,7.65
334,ende,-8.84,81.37,100,24,5.41
335,soyo,-6.13,75.88,98,88,3.4
336,bluff,-23.58,79.66,97,68,10.33
337,kalmunai,7.42,77.63,97,68,5.41
338,chaplynka,46.36,9.01,100,8,5.75
340,mar del plata,-46.43,55.13,95,12,2.39
341,lavrentiya,65.58,14.86,100,0,10
342,broome,52.47,26.6,92,80,5.82
343,jumla,29.28,31.64,76,0,2.06
344,winnemucca,40.97,33.8,31,1,9.17
345,ulladulla,-35.36,77,80,0,9.1
346,fort wayne,41.08,50,63,1,11.01
347,butaritari,3.07,83.66,97,92,17.05
348,jamestown,-33.21,75.43,44,0,16.37
349,khasan,42.43,27.95,92,32,8.66
350,komsomolskiy,67.55,1.36,71,88,13.8
351,mokhsogollokh,61.4,-10.35,70,12,3.74
352,dawlatabad,36.41,48.52,89,92,2.62
353,gull lake,50.1,25.48,67,0,8.43
354,albany,42.65,39.2,60,40,4.85
355,salalah,17.01,70.21,100,0,1.72
356,victoria,5.28,81.68,100,36,4.07
357,cananeia,-25.01,73.63,100,80,4.74
358,sao joao da barra,-21.64,80.83,96,56,24.43
359,talakan,50.29,12.11,43,0,3.74
360,lakes entrance,-37.88,82.99,50,0,5.64
361,zhaoyuan,45.52,18.28,66,92,14.36
362,busselton,-33.64,68.99,100,0,8.43
363,punta arenas,-53.16,52.7,79,76,16.26
364,haapiti,-17.57,83.08,98,32,9.66
365,yellowknife,62.45,2.3,66,12,8.21
366,manaure,11.78,75.74,94,0,16.49
367,norman wells,65.28,-5.04,66,56,2.51
368,indianola,40.24,39.2,60,1,8.05
369,albany,42.65,39.2,60,40,4.85
370,qaanaaq,77.48,9.19,84,64,9.78
371,punta arenas,-53.16,52.7,79,76,16.26
372,pochutla,15.74,78.58,100,0,9.22
374,rauma,61.13,-2.21,70,0,2.24
375,kahului,20.89,80.6,54,40,19.46
376,avarua,-21.21,80.6,100,76,6.98
377,barrow,-38.31,65.3,92,56,3.62
378,puerto ayora,-0.74,79.21,100,80,4.97
379,norman wells,65.28,-5.04,66,56,2.51
380,punta arenas,-53.16,52.7,79,76,16.26
381,visnes,59.36,14,47,0,12.75
382,tanda,31.67,60.58,72,48,2.62
383,ushuaia,-54.81,45.14,100,88,13.69
384,rikitea,-23.12,79.84,100,64,14.03
385,juneau,58.3,33.8,80,90,4.7
386,rikitea,-23.12,79.84,100,64,14.03
387,busselton,-33.64,68.99,100,0,8.43
388,vaini,15.34,67.64,51,0,3.62
389,sao geraldo do araguaia,-6.4,75.61,89,8,2.62
390,cape town,-33.93,61.7,94,0,14.25
391,luena,-11.78,62.6,97,36,6.2
392,rikitea,-23.12,79.84,100,64,14.03
393,tornio,61.12,-5.81,76,0,10.29
394,narsaq,60.91,-18.72,26,0,2.39
395,cherskiy,68.75,-4.59,68,36,2.17
396,lagoa,37.14,57.61,98,92,20.07
397,punta arenas,-53.16,52.7,79,76,16.26
399,tiksi,71.64,-23.62,35,8,4.18
400,kaitangata,-46.28,68.86,76,0,3.62
401,valkeala,60.94,-5.81,76,0,10.29
402,hasaki,35.73,46.4,100,0,2.24
403,buy,58.48,-8.46,66,8,9.55
404,pisco,-13.71,68,89,8,3.62
405,ushuaia,-54.81,45.14,100,88,13.69
406,comodoro rivadavia,-45.87,63.5,80,0,6.64
407,pangnirtung,66.15,26.29,84,88,12.35
408,albany,42.65,39.2,60,40,4.85
409,muros,42.77,30.2,100,75,9.17
411,pozo colorado,-23.49,81.05,74,44,6.87
412,umm lajj,25.02,61.79,100,0,7.43
413,cabo san lucas,22.89,69.67,100,36,7.09
414,bambous virieux,-20.34,80.69,81,76,9.89
415,moose factory,51.26,16.25,83,20,7.09
416,cabo san lucas,22.89,69.67,100,36,7.09
418,wencheng,27.79,61.84,87,76,5.64
419,matay,28.42,44.96,73,0,2.62
420,georgetown,6.8,73.63,85,32,4.63
421,thompson,55.74,17.6,78,40,3.36
422,cape town,-33.93,61.7,94,0,14.25
423,cape town,-33.93,61.7,94,0,14.25
425,sobolevo,54.43,-3.46,64,68,17.94
426,paso de los toros,-32.81,66.38,96,92,9.66
427,kapaa,22.08,75.2,78,90,18.34
428,ribeira grande,38.52,58.51,100,64,12.46
429,bubaque,11.28,73.72,100,0,15.48
430,bluff,-23.58,79.66,97,68,10.33
432,moissac,44.11,26.6,85,0,5.82
433,hilo,19.71,80.6,57,40,11.41
434,bredasdorp,-34.53,60.94,100,0,7.54
435,vaini,15.34,67.64,51,0,3.62
436,kapaa,22.08,75.2,78,90,18.34
437,paka,45.29,15.8,92,75,12.75
438,mount gambier,-37.83,65.53,69,92,15.26
439,cockburn town,21.46,75.34,100,0,17.27
441,bermeo,43.42,30.2,73,75,3.36
442,punta arenas,-53.16,52.7,79,76,16.26
443,ushuaia,-54.81,45.14,100,88,13.69
444,cotonou,6.37,78.67,90,68,4.07
445,mataura,-46.19,71.74,67,0,5.64
446,mataura,-46.19,71.74,67,0,5.64
447,mar del plata,-46.43,55.13,95,12,2.39
448,lompoc,34.64,53.6,62,1,18.34
449,wagar,31.44,66.43,64,48,5.97
450,ferkessedougou,9.6,70.79,92,24,7.99
451,upernavik,72.79,10.94,81,56,10.33
452,laibin,23.74,67.51,100,76,4.18
453,vaini,15.34,67.64,51,0,3.62
454,sitka,37.17,51.35,82,8,12.12
455,arraial do cabo,-22.97,76.87,98,68,2.06
456,telimele,10.9,70.84,89,48,2.73
457,ternate,14.29,80.6,88,75,2.24
458,chokurdakh,70.62,-18.09,80,44,5.08
459,saskylakh,71.97,-24.3,36,8,10.33
460,saint-philippe,45.36,44.6,48,75,5.82
461,rawson,-43.3,66.97,41,0,19.73
462,ushuaia,-54.81,45.14,100,88,13.69
463,port alfred,-33.59,64.36,95,12,4.63
464,buala,-8.15,79.93,100,32,1.95
465,ushuaia,-54.81,45.14,100,88,13.69
466,airai,-8.93,77.63,95,48,1.39
467,hasaki,35.73,46.4,100,0,2.24
468,mataura,-46.19,71.74,67,0,5.64
469,klyuchi,52.25,9.37,77,76,12.01
470,kopervik,59.28,14,47,0,12.75
471,ribeira grande,38.52,58.51,100,64,12.46
472,coihaique,-45.58,50.45,63,0,3.96
473,ust-nera,64.57,-4.68,71,68,0.94
474,atuona,-9.8,81.05,100,92,14.14
475,isangel,-19.55,81.86,100,56,4.97
476,ushuaia,-54.81,45.14,100,88,13.69
477,bambous virieux,-20.34,80.69,81,76,9.89
478,avarua,-21.21,80.6,100,76,6.98
479,ponta do sol,-20.63,65.71,98,76,2.73
480,tuatapere,-46.13,63.91,86,24,5.19
481,carnarvon,-30.97,52.03,53,0,2.62
482,avarua,-21.21,80.6,100,76,6.98
483,tiznit,29.7,54.46,78,0,5.41
484,lebu,8.96,46.63,87,64,2.62
485,aklavik,68.22,3.2,65,75,4.97
486,mount gambier,-37.83,65.53,69,92,15.26
487,new norfolk,-42.78,69.26,64,68,8.21
488,umm lajj,25.02,61.79,100,0,7.43
489,bluff,-23.58,79.66,97,68,10.33
490,cabedelo,-6.97,79.21,99,100,10.33
492,katsuura,33.93,51.13,63,80,4.07
493,hadejia,12.45,71.15,38,0,4.97
494,pochutla,15.74,78.58,100,0,9.22
496,rikitea,-23.12,79.84,100,64,14.03
497,qaanaaq,77.48,9.19,84,64,9.78
498,hobart,-42.88,73.13,55,100,7.09
499,ushuaia,-54.81,45.14,100,88,13.69
501,ballyshannon,54.5,32.45,100,64,17.72
502,busselton,-33.64,68.99,100,0,8.43
504,bluff,-23.58,79.66,97,68,10.33
505,san isidro,16.74,74.75,100,68,0.6
